Organism,Requirement/Figure,Current Candidate,Biology,Completeness,Connections,Leaders,EN,TA,Embedded,Reference Resolution,360px,Enlarged,Overall,Action Needed
Fasciola hepatica,Excretory system,batch2#fasciola_excretory,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable audit
Fasciola hepatica,Life cycle,batch2#fasciola_lifecycle,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable process audit
Fasciola hepatica,Reproductive system,FASCIOLA-REP-R1,PASS,PASS,PASS,PASS,PASS,TERMINOLOGY REVIEW PENDING,PIPELINE-DEPENDENT,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Tamil + contextual integration
Taenia solium,Scolex / strobila morphology,batch3#taenia,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable audit
Taenia solium,Life-cycle organisation,batch3#taenia-cycle,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable audit
Ascaris lumbricoides,Male/female external morphology,batch2#ascaris_external,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable audit
Ascaris lumbricoides,Digestive system,batch2#ascaris_digestive,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable audit
Ascaris lumbricoides,Transverse section,batch2#ascaris_ts,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable audit
Ascaris lumbricoides,Body wall / pseudocoel,batch2#ascaris_bodywall,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable audit
Ascaris lumbricoides,Female reproductive system,ASCARIS-FEMALE-REP-R1,PASS,PASS,PASS,PASS,PASS,TERMINOLOGY REVIEW PENDING,PIPELINE-DEPENDENT,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Tamil + contextual integration
Ascaris lumbricoides,Male reproductive system,ASCARIS-MALE-REP-R1,PASS,PASS,PASS,PASS,PASS,TERMINOLOGY REVIEW PENDING,PIPELINE-DEPENDENT,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Tamil + contextual integration
Nematode parasites,Representative parasite / life-cycle comparison,batch3#nematode-parasites,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable audit
Earthworm,External morphology,earthworm-external-r2,PASS,PASS,PASS,PASS,PASS,PARTIAL/PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Tamil + contextual render only
Earthworm,Digestive system,earthworm-digestive-r2,PASS,PASS,PASS,PASS,PASS,PARTIAL/PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Tamil + contextual render only
Earthworm,Blood vascular system,earthworm-vascular-r2,PASS,PASS,PASS,PASS,PASS,PARTIAL/PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Tamil + contextual render only
Earthworm,Nervous system,earthworm-nervous,PASS,PASS,PASS,PASS,PASS,PARTIAL/PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Tamil + contextual render only
Earthworm,Excretory / nephridial organisation,earthworm-excretory-r2,PASS,PASS,PASS,PASS,PASS,PARTIAL/PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Tamil + contextual render only
Earthworm,Reproductive landmarks,earthworm-reproductive-r2,PASS,PASS,PASS,PASS,PASS,PARTIAL/PENDING,PASS,REFERENCE RESOLUTION REQUIRED for complete internal topology,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Resolve independent-scope necessity; do not expand anatomy
Nereis,External morphology + head subfigure,NEREIS-01-R1,PASS,PASS,PASS,PASS,PASS,TERMINOLOGY REVIEW PENDING,PIPELINE-DEPENDENT,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Tamil + contextual integration
Nereis,Biramous parapodium,NEREIS-02-R1,PASS,PASS,PASS,PASS,PASS,TERMINOLOGY REVIEW PENDING,PIPELINE-DEPENDENT,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Tamil + contextual integration
Nereis,Digestive system,batch2#nereis-digestive,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Protected source-resolvable audit
Nereis,Circulatory system,batch2#nereis-circulatory,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Protected source-resolvable audit
Nereis,Nervous system,batch2#nereis-nervous,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Protected source-resolvable audit
Nereis,Excretory system,NEREIS-06-N1,PASS,PENDING,REFERENCE RESOLUTION REQUIRED,PASS,PASS,TERMINOLOGY REVIEW PENDING,PIPELINE-DEPENDENT,REFERENCE RESOLUTION REQUIRED finer topology,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Determine whether finer topology is required
Nereis,Reproduction / epitoky / development,NEREIS-07-N1,PASS,PASS,PASS,PASS,PASS,TERMINOLOGY REVIEW PENDING,PIPELINE-DEPENDENT,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Tamil + contextual integration
Penaeus,PENAEUS-01 external,PENAEUS-01-R1,PASS,PASS,PASS,PASS,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Protected; terminology/render only
Penaeus,PENAEUS-02 generalized biramous architecture,master-penaeus-appendage,PASS,PASS,PASS,PASS,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Protected
Penaeus,PENAEUS-03 specialised appendage series,PENAEUS-03 child series,PASS,PASS,PASS,PASS,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Protected
Penaeus,PENAEUS-04 gills / respiration,batch2#penaeus_respiratory,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,REFERENCE RESOLUTION REQUIRED,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable topology/leader audit
Penaeus,PENAEUS-05 digestive,PENAEUS-05-R1,PASS,PASS,PASS,PASS,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Protected
Penaeus,PENAEUS-06 circulation,batch2#penaeus_circulatory,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,REFERENCE RESOLUTION REQUIRED,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable topology/leader audit
Penaeus,PENAEUS-07 nervous,batch2#penaeus_nervous,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,REFERENCE RESOLUTION REQUIRED,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable topology/leader audit
Penaeus,PENAEUS-08 excretory,PENAEUS-08-N1,PASS,PENDING,PENDING,PASS,PASS,TERMINOLOGY REVIEW PENDING,PASS,REFERENCE RESOLUTION REQUIRED finer topology,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Determine required topology; protected from redraw
Penaeus,PENAEUS-09 reproductive,PENAEUS-09-R1,PASS,PENDING,PENDING,PASS,PASS,TERMINOLOGY REVIEW PENDING,PASS,REFERENCE RESOLUTION REQUIRED finer topology,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Determine required topology; protected from redraw
Peripatus,External morphology / affinities features,batch3#peripatus,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable audit
Crustacean larvae,Larval-form comparison,batch3#crustacean-larvae,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable audit
Arthropod pest/IPM,Agricultural pest / IPM process visual,batch3#arthropod-pest-ipm,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable audit
Pila,External / shell,PILA-EXT-R1,PASS,PASS,PASS,PASS,PASS,TERMINOLOGY REVIEW PENDING,PIPELINE-DEPENDENT,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Tamil + contextual integration
Pila,Pallial complex / dual respiration,PILA-PALLIAL-R1,PASS,PASS,PASS,PASS,PASS,TERMINOLOGY REVIEW PENDING,PIPELINE-DEPENDENT,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Tamil + contextual integration
Pila,Digestive + radula,PILA-DIG-R1,PASS,PASS,PASS,PASS,PASS,TERMINOLOGY REVIEW PENDING,PIPELINE-DEPENDENT,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Tamil + contextual integration
Pila,Circulatory,batch2#pila-circulatory,PASS,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Protect biological core; leader/Tamil audit
Pila,Excretory / Organ of Bojanus,PILA-EXC-N1,PASS,PENDING,REFERENCE RESOLUTION REQUIRED,PASS,PASS,TERMINOLOGY REVIEW PENDING,PIPELINE-DEPENDENT,REFERENCE RESOLUTION REQUIRED finer topology,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Determine required topology
Pila,Nervous / sensory,PILA-NER-R1,PASS,PASS,PASS,PASS,PASS,TERMINOLOGY REVIEW PENDING,PIPELINE-DEPENDENT,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Tamil + contextual integration
Pila,Reproductive,PILA-REP-R1,PASS,PASS,PASS,PASS,PASS,TERMINOLOGY REVIEW PENDING,PIPELINE-DEPENDENT,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Tamil + contextual integration
Mollusca,Generalised molluscan body plan,batch3#molluscan-body-plan,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable audit
Gastropoda,Torsion process,batch3#gastropod-torsion,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable process audit
Cephalopoda,Representative morphology / economic relevance,batch3#cephalopod,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable audit
Asterias,Aboral external morphology,batch2#asterias-aboral,PASS,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Protect biological core; source-resolvable completeness/leader audit
Asterias,Oral external morphology,batch2#asterias-oral,PASS,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Protect biological core; source-resolvable completeness/leader audit
Asterias,Water-vascular system,master-asterias-wvs,PASS,PASS,PASS,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Leader/Tamil only; protect topology
Asterias,Digestive,ASTERIAS-DIG-R1,PASS,PASS,PASS,PASS,PASS,TERMINOLOGY REVIEW PENDING,PIPELINE-DEPENDENT,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Tamil + contextual integration
Asterias,Nervous,batch2#asterias-nervous,PASS,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Protect biology; source-resolvable leader/completeness
Asterias,Reproductive,ASTERIAS-REP-R1,PASS,PASS,PASS,PASS,PASS,TERMINOLOGY REVIEW PENDING,PIPELINE-DEPENDENT,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Tamil + contextual integration
Asterias,Body wall,PROVISIONAL-ABSENT,PENDING,PENDING,PENDING,PENDING,PENDING,TERMINOLOGY REVIEW PENDING,NO,PROVISIONAL,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PROVISIONAL,Independent-figure necessity decision required
Asterias,Circulatory / coelomic transport,PROVISIONAL-ABSENT,PENDING,PENDING,PENDING,PENDING,PENDING,TERMINOLOGY REVIEW PENDING,NO,PROVISIONAL,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PROVISIONAL,Independent-figure necessity decision required
Asterias,Respiration,PROVISIONAL-ABSENT,PENDING,PENDING,PENDING,PENDING,PENDING,TERMINOLOGY REVIEW PENDING,NO,PROVISIONAL,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PROVISIONAL,Independent-figure necessity decision required
Asterias,Excretion,PROVISIONAL-ABSENT,PENDING,PENDING,PENDING,PENDING,PENDING,TERMINOLOGY REVIEW PENDING,NO,PROVISIONAL,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PROVISIONAL,Independent-figure necessity decision required
Asterias,Larval development,PROVISIONAL-ABSENT,PENDING,PENDING,PENDING,PENDING,PENDING,TERMINOLOGY REVIEW PENDING,NO,PROVISIONAL,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PROVISIONAL,Independent-figure necessity decision required
Echinoderm larvae,Larval-form comparison,batch3#echinoderm-larvae,PENDING,PENDING,PENDING,PENDING,PASS,TERMINOLOGY REVIEW PENDING,PASS,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,PENDING,Source-resolvable audit
