Requirement ID,Organism,Figure/System,Frozen Requirement Type,Active Candidate,Reference,Biology,Completeness,Connections/Sequence,Labels,Leaders,EN,TA,Embedded,Source Integrity,Reference Resolution,360px,Enlarged,Overall Source State,Pending Class,Blocking?,Evidence/Exact Finding
OBE-03,Obelia,Gonangium / gonozooid detail,SUBFIGURE REQUIREMENT,batch2#obelia-zooids-right,p16,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
OBE-04,Obelia,Medusa anatomy,REQUIRED FIGURE,OBELIA-02-R1,p16,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
OBE-05,Obelia,Life cycle / metagenesis,PROCESS FIGURE REQUIRED,OBELIA-03-R1,p16,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
AUR-01,Aurelia,Medusa morphology,REQUIRED FIGURE,batch3#aurelia + Pass2 figure-specific callouts,p15,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-001 → P2-B3 re-audit PASS
PHY-01,Physalia,Colonial polymorphism,REQUIRED FIGURE,batch3#physalia + Pass2 figure-specific callouts,p19,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-001 → P2-B3 re-audit PASS
COR-01,Coral,Coral polyp / reef organisation,REQUIRED FIGURE,batch3#coral + Pass2 figure-specific callouts,p17,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-001 → P2-B3 re-audit PASS
FAS-01,Fasciola hepatica,External morphology,REQUIRED FIGURE,batch2#fasciola_external + Pass2 landmarks,p21,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-007 → P2-SYS PASS
FAS-02,Fasciola hepatica,Digestive system,REQUIRED FIGURE,batch2#fasciola_digestive,p21,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
FAS-03,Fasciola hepatica,Excretory system,REQUIRED FIGURE,batch2#fasciola_excretory + Pass2 bladder callout,p21,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-008 → P2-SYS PASS
FAS-04,Fasciola hepatica,Life cycle,PROCESS FIGURE REQUIRED,batch2#fasciola_lifecycle + Pass2 sequence resolution,p21,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-009 → P2-SYS PASS
FAS-05,Fasciola hepatica,Reproductive system,REQUIRED FIGURE,FASCIOLA-REP-R1,p21,PASS,PASS,PASS,PASS,PASS,PASS,NON-BLOCKING REVIEW — Ootype/Mehlis scientific terms retained,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT + NON-BLOCKING TERMINOLOGY REVIEW,NO,SG-017 → non-blocking terminology review
TAE-01,Taenia solium,Scolex / strobila morphology,REQUIRED FIGURE,batch3#taenia + Pass2 figure-specific callouts,p20/22,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-001 → P2-B3 re-audit PASS
TAE-02,Taenia solium,Life-cycle organisation,PROCESS FIGURE REQUIRED,batch3#taenia-cycle + Pass2 stage callouts,p22,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-001 → P2-B3 re-audit PASS
ASC-01,Ascaris lumbricoides,Male/female external morphology,REQUIRED FIGURE,batch2#ascaris_external + Pass2 scope callout,p25,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-014 → scope allocation PASS
ASC-02,Ascaris lumbricoides,Digestive system,REQUIRED FIGURE,batch2#ascaris_digestive,p25,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
ASC-03,Ascaris lumbricoides,Transverse section,REQUIRED FIGURE,batch2#ascaris_ts + Pass2 scope callouts,p25,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-015 → scope allocation PASS
ASC-04,Ascaris lumbricoides,Body wall / pseudocoel,COMPANION FIGURE,batch2#ascaris_bodywall,p25,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
ASC-05,Ascaris lumbricoides,Female reproductive system,REQUIRED FIGURE,ASCARIS-FEMALE-REP-R1,p25,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
ASC-06,Ascaris lumbricoides,Male reproductive system,REQUIRED FIGURE,ASCARIS-MALE-REP-R1,p25,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
NEM-01,Nematode parasites,Representative parasite / life-cycle comparison,REQUIRED FIGURE,batch3#nematode-parasites + Pass2 figure-specific callouts,p27,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-001 → P2-B3 re-audit PASS
EWT-01,Earthworm,External morphology,REQUIRED FIGURE,earthworm-external-r2,p30,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
EWT-02,Earthworm,Digestive system,REQUIRED FIGURE,earthworm-digestive-r2,p30,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
EWT-03,Earthworm,Blood vascular system,REQUIRED FIGURE,earthworm-vascular-r2,p30,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
EWT-04,Earthworm,Nervous system,REQUIRED FIGURE,earthworm-nervous,p30,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
EWT-05,Earthworm,Excretory / nephridial organisation,REQUIRED FIGURE,earthworm-excretory-r2,p30,PASS,PASS,PASS,PASS,PASS,PASS,NON-BLOCKING REVIEW — specialist scientific terms retained,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT + NON-BLOCKING TERMINOLOGY REVIEW,NO,SG-021 → one non-blocking Earthworm terminology group
EWT-06,Earthworm,Reproductive landmarks,LIMITED-SCOPE FIGURE,earthworm-reproductive-r2,p30,PASS,PASS,PASS,PASS,PASS,PASS,NON-BLOCKING REVIEW — specialist scientific terms retained,PIPELINE-DEPENDENT,PASS-SOURCE,PASS — complete internal reproductive topology not independently required,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT + NON-BLOCKING TERMINOLOGY REVIEW,NO,SG-021 → one non-blocking Earthworm terminology group
NER-01,Nereis,External morphology + head subfigure,REQUIRED FIGURE,NEREIS-01-R1,p29,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
NER-02,Nereis,Biramous parapodium,REQUIRED FIGURE,NEREIS-02-R1,p29,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
NER-03,Nereis,Digestive system,REQUIRED FIGURE,batch2#nereis-digestive + Pass2 callouts,p29,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-002 → P2-SYS PASS
NER-04,Nereis,Closed circulatory system,REQUIRED FIGURE,batch2#nereis-circulatory,p29,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
NER-05,Nereis,Nervous system,REQUIRED FIGURE,batch2#nereis-nervous + Pass2 subpharyngeal ganglion,p29,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-003 → P2-SYS PASS
NER-06,Nereis,Excretory system,REQUIRED FIGURE,NEREIS-06-R2,p29,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-004 → NEREIS-06-R2 PASS
NER-07,Nereis,Reproduction / epitoky / development,PROCESS FIGURE REQUIRED,NEREIS-07-N1,p29,PASS,PASS,PASS,PASS,PASS,PASS,NON-BLOCKING REVIEW — Heteronereis retained,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT + NON-BLOCKING TERMINOLOGY REVIEW,NO,SG-019 → terminology review non-blocking
PEN-01,Penaeus,External morphology,REQUIRED FIGURE,PENAEUS-01-R1,p34,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
PEN-02,Penaeus,Generalized biramous appendage architecture,LIMITED-SCOPE FIGURE,master-penaeus-appendage,p34,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
PEN-03,Penaeus,Specialised appendage series,SUBFIGURE REQUIREMENT,PENAEUS-03 child series,p34,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
PEN-04,Penaeus,Gills / respiration,REQUIRED FIGURE,batch2#penaeus_respiratory + Pass2 thoracic/water-current overlay,p34,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-005 → P2-SYS PASS
PEN-05,Penaeus,Digestive system,REQUIRED FIGURE,PENAEUS-05-R1,p34,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
PEN-06,Penaeus,Circulatory system,REQUIRED FIGURE,batch2#penaeus_circulatory,p34,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
PEN-07,Penaeus,Nervous system,REQUIRED FIGURE,batch2#penaeus_nervous,p34,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
PEN-08,Penaeus,Excretory system,REQUIRED FIGURE,PENAEUS-08-N1,p34,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS — finer detail nonessential,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
PEN-09,Penaeus,Reproductive system,REQUIRED FIGURE,PENAEUS-09-R1 + Pass2 petasma/thelycum callouts,p34,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-006/020 → P2-SYS/term PASS
PERI-01,Peripatus,External morphology / affinity characters,REQUIRED FIGURE,batch3#peripatus + Pass2 figure-specific callouts,p35,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-001 → P2-B3 re-audit PASS
CRUST-01,Crustacean larvae,Larval-form comparison,REQUIRED FIGURE,batch3#crustacean-larvae + Pass2 figure-specific labels,p36,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-001 → P2-B3 re-audit PASS
IPM-01,Arthropod pest/IPM,Agricultural pest / IPM process visual,PROCESS FIGURE REQUIRED,batch3#arthropod-pest-ipm + Pass2 stage labels,p38–39,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-001 → P2-B3 re-audit PASS
PILA-01,Pila,External / shell,REQUIRED FIGURE,PILA-EXT-R1,p41,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
PILA-02,Pila,Pallial complex / dual respiration,REQUIRED FIGURE,PILA-PALLIAL-R1,p41,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
PILA-03,Pila,Digestive + radula,REQUIRED FIGURE,PILA-DIG-R1,p41,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
PILA-04,Pila,Circulatory system,PROTECTED BIOLOGICAL-CORE FIGURE,batch2#pila-circulatory,p41,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
PILA-05,Pila,Excretory / Organ of Bojanus,REQUIRED FIGURE,PILA-EXC-N1,p41,PASS,PASS,PASS,PASS,PASS,PASS,NON-BLOCKING REVIEW — Organ of Bojanus retained,PIPELINE-DEPENDENT,PASS-SOURCE,PASS — finer detail nonessential,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT + NON-BLOCKING TERMINOLOGY REVIEW,NO,SG-018/022 → anatomy PASS; eponym review non-blocking
PILA-06,Pila,Nervous / sensory,REQUIRED FIGURE,PILA-NER-R1,p41,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
